loan_size,APR,income,principal_paid,interest_paid,loan_term,status,issue_date
5000.0, 10.65%,24000.0,5000.0,861.07, 36 months,Fully Paid,Dec-2011
2500.0, 15.27%,30000.0,456.46,435.17, 60 months,Charged Off,Dec-2011
2400.0, 15.96%,12252.0,2400.0,603.65, 36 months,Fully Paid,Dec-2011
10000.0, 13.49%,49200.0,10000.0,2209.33, 36 months,Fully Paid,Dec-2011
3000.0, 12.69%,80000.0,2233.1,1009.07, 60 months,Current,Dec-2011
5000.0,  7.90%,36000.0,5000.0,631.38, 36 months,Fully Paid,Dec-2011
7000.0, 15.96%,47004.0,5110.85,3025.99, 60 months,Current,Dec-2011
3000.0, 18.64%,48000.0,3000.0,938.14, 36 months,Fully Paid,Dec-2011
5600.0, 21.28%,40000.0,162.02,294.94, 60 months,Charged Off,Dec-2011
5375.0, 12.69%,15000.0,673.48,533.42, 60 months,Charged Off,Dec-2011
6500.0, 14.65%,72000.0,6500.0,1177.52, 60 months,Fully Paid,Dec-2011
12000.0, 12.69%,75000.0,12000.0,1943.08, 36 months,Fully Paid,Dec-2011
9000.0, 13.49%,30000.0,1256.14,570.26, 36 months,Charged Off,Dec-2011
3000.0,  9.91%,15000.0,3000.0,478.98, 36 months,Fully Paid,Dec-2011
10000.0, 10.65%,100000.0,5433.47,1393.42, 36 months,Charged Off,Dec-2011
1000.0, 16.29%,28000.0,1000.0,270.17, 36 months,Fully Paid,Dec-2011
10000.0, 15.27%,42000.0,10000.0,2519.26, 36 months,Fully Paid,Dec-2011
3600.0,  6.03%,110000.0,3600.0,185.02, 36 months,Fully Paid,Dec-2011
6000.0, 11.71%,84000.0,6000.0,1149.5, 36 months,Fully Paid,Dec-2011
9200.0,  6.03%,77385.19,9200.0,259.96, 36 months,Fully Paid,Dec-2011
20250.0, 15.27%,43370.0,20250.0,7413.04, 60 months,Fully Paid,Dec-2011
21000.0, 12.42%,105000.0,10694.96,3330.44, 36 months,Charged Off,Dec-2011
10000.0, 11.71%,50000.0,10000.0,1902.56, 36 months,Fully Paid,Dec-2011
10000.0, 11.71%,50000.0,10000.0,1536.31, 36 months,Fully Paid,Dec-2011
6000.0, 11.71%,76000.0,1305.58,475.25, 36 months,Charged Off,Dec-2011
15000.0,  9.91%,92000.0,15000.0,823.48, 36 months,Fully Paid,Dec-2011
15000.0, 14.27%,60000.0,0.0,0.0, 36 months,Charged Off,Dec-2011
5000.0, 16.77%,50004.0,629.05,719.11, 60 months,Charged Off,Dec-2011
4000.0, 11.71%,106000.0,4000.0,484.79, 36 months,Fully Paid,Dec-2011
8500.0, 11.71%,25000.0,8500.0,1622.21, 36 months,Fully Paid,Dec-2011
4375.0,  7.51%,17108.0,4375.0,523.54, 36 months,Fully Paid,Dec-2011
31825.0,  7.90%,75000.0,31825.0,3061.08, 36 months,Fully Paid,Dec-2011
10000.0, 15.96%,29120.0,7304.67,4317.69, 60 months,Current,Dec-2011
5000.0,  8.90%,24044.0,5000.0,714.59, 36 months,Fully Paid,Dec-2011
7000.0, 15.96%,34000.0,7000.0,1848.94, 36 months,Fully Paid,Dec-2011
12400.0, 10.65%,41000.0,12400.0,2137.46, 36 months,Fully Paid,Dec-2011
10800.0,  9.91%,55596.0,10800.0,1357.2, 36 months,Fully Paid,Dec-2011
15000.0,  7.90%,45000.0,15000.0,1662.6, 36 months,Fully Paid,Dec-2011
6000.0, 12.42%,36852.0,6000.0,1125.28, 36 months,Fully Paid,Dec-2011
12500.0, 12.69%,27000.0,9306.87,4199.67, 60 months,Current,Dec-2011
9600.0,  7.51%,68004.0,9600.0,1149.76, 36 months,Fully Paid,Dec-2011
12000.0,  7.90%,62300.0,12000.0,1516.38, 36 months,Fully Paid,Dec-2011
3000.0, 18.25%,65000.0,3000.0,915.03, 36 months,Fully Paid,Dec-2011
4400.0, 16.77%,55000.0,4400.0,1226.89, 36 months,Fully Paid,Dec-2011
6000.0,  6.03%,45600.0,6000.0,65.86, 36 months,Fully Paid,Dec-2011
14000.0,  9.91%,80000.0,14000.0,2239.91, 36 months,Fully Paid,Dec-2011
5000.0,  8.90%,100000.0,4217.38,696.99, 36 months,Charged Off,Dec-2011
10000.0, 10.65%,27000.0,10000.0,1724.57, 36 months,Fully Paid,Dec-2011
